FILEID,STUSAB,GEOCODE,COUNTY,TRACT,BLKGRP,BLOCK,AREALAND,NAME,INTPTLAT,INTPTLON,P0010001,P0020001,P0030001,P0050001,P0050003,P0050004,State,Proposed 2022_SD,County,Tract,BlockGroup,Block,Adj_Population,dif_pop,adjpop
PLST,DE,100010401002033,1,40100,2,2033,55036,Block 2033,39.1839983,-75.6477698,64,64,45,0,0,0,10,15,10001,10001040100,100010401002,100010401002033,66,2,66
PLST,DE,100010401002034,1,40100,2,2034,298138,Block 2034,39.1894226,-75.6702944,9,9,5,0,0,0,10,15,10001,10001040100,100010401002,100010401002034,9,0,9
PLST,DE,100010401002035,1,40100,2,2035,944139,Block 2035,39.1941781,-75.7400752,20,20,16,0,0,0,10,15,10001,10001040100,100010401002,100010401002035,20,0,20
PLST,DE,100010401002036,1,40100,2,2036,495502,Block 2036,39.1872181,-75.732524,16,16,12,0,0,0,10,15,10001,10001040100,100010401002,100010401002036,16,0,16
PLST,DE,100010401002037,1,40100,2,2037,710966,Block 2037,39.1775405,-75.6568091,32,32,30,0,0,0,10,15,10001,10001040100,100010401002,100010401002037,32,0,32
PLST,DE,100010401002038,1,40100,2,2038,425145,Block 2038,39.1799751,-75.6664317,49,49,39,0,0,0,10,15,10001,10001040100,100010401002,100010401002038,50,1,50
PLST,DE,100010401002039,1,40100,2,2039,1793320,Block 2039,39.1885619,-75.6847989,44,44,36,0,0,0,10,15,10001,10001040100,100010401002,100010401002039,44,0,44
PLST,DE,100010401003000,1,40100,3,3000,509097,Block 3000,39.2856881,-75.6709022,119,119,84,0,0,0,10,15,10001,10001040100,100010401003,100010401003000,119,0,119
PLST,DE,100010401003001,1,40100,3,3001,3674392,Block 3001,39.2843561,-75.6886082,288,288,230,0,0,0,10,15,10001,10001040100,100010401003,100010401003001,289,1,289
PLST,DE,100010401003002,1,40100,3,3002,28773,Block 3002,39.291984,-75.6891409,24,24,18,0,0,0,10,15,10001,10001040100,100010401003,100010401003002,24,0,24
PLST,DE,100010401003003,1,40100,3,3003,724229,Block 3003,39.2968079,-75.6997614,113,113,86,0,0,0,10,15,10001,10001040100,100010401003,100010401003003,113,0,113
PLST,DE,100010401003004,1,40100,3,3004,1359831,Block 3004,39.2953038,-75.7275361,56,56,51,0,0,0,10,15,10001,10001040100,100010401003,100010401003004,57,1,57
PLST,DE,100010401003005,1,40100,3,3005,194177,Block 3005,39.2961801,-75.7399914,18,18,18,0,0,0,10,15,10001,10001040100,100010401003,100010401003005,18,0,18
PLST,DE,100010401003006,1,40100,3,3006,3308369,Block 3006,39.2881628,-75.7503937,40,40,37,0,0,0,10,15,10001,10001040100,100010401003,100010401003006,40,0,40
PLST,DE,100010401003007,1,40100,3,3007,203826,Block 3007,39.2803537,-75.7451918,51,51,35,0,0,0,10,15,10001,10001040100,100010401003,100010401003007,51,0,51
PLST,DE,100010401003008,1,40100,3,3008,139499,Block 3008,39.2754999,-75.7556919,0,0,0,0,0,0,10,15,10001,10001040100,100010401003,100010401003008,0,0,0
PLST,DE,100010401003009,1,40100,3,3009,1490162,Block 3009,39.2668355,-75.7526377,16,16,13,0,0,0,10,15,10001,10001040100,100010401003,100010401003009,16,0,16
PLST,DE,100010401003010,1,40100,3,3010,1076154,Block 3010,39.2707952,-75.7451208,123,123,103,0,0,0,10,15,10001,10001040100,100010401003,100010401003010,123,0,123
PLST,DE,100010401003011,1,40100,3,3011,2553012,Block 3011,39.2715271,-75.734711,120,120,101,0,0,0,10,15,10001,10001040100,100010401003,100010401003011,122,2,122
PLST,DE,100010401003012,1,40100,3,3012,290522,Block 3012,39.2884553,-75.7372956,29,29,24,0,0,0,10,15,10001,10001040100,100010401003,100010401003012,29,0,29
PLST,DE,100010401003013,1,40100,3,3013,4231049,Block 3013,39.277263,-75.7197842,326,326,266,0,0,0,10,15,10001,10001040100,100010401003,100010401003013,326,0,326
PLST,DE,100010401003014,1,40100,3,3014,4098944,Block 3014,39.2891696,-75.7096701,161,161,140,0,0,0,10,15,10001,10001040100,100010401003,100010401003014,163,2,163
PLST,DE,100010401004000,1,40100,4,4000,9014635,Block 4000,39.2668632,-75.6804775,370,370,263,0,0,0,10,15,10001,10001040100,100010401004,100010401004000,371,1,371
PLST,DE,100010401004001,1,40100,4,4001,31506,Block 4001,39.2490799,-75.6863548,6,6,6,0,0,0,10,15,10001,10001040100,100010401004,100010401004001,6,0,6
PLST,DE,100010401004002,1,40100,4,4002,81304,Block 4002,39.2813314,-75.6674203,61,61,38,0,0,0,10,15,10001,10001040100,100010401004,100010401004002,61,0,61
PLST,DE,100010401004003,1,40100,4,4003,25695,Block 4003,39.2678073,-75.6677164,0,0,0,0,0,0,10,15,10001,10001040100,100010401004,100010401004003,0,0,0
PLST,DE,100010401004004,1,40100,4,4004,32880,Block 4004,39.2699103,-75.6634069,31,31,15,0,0,0,10,15,10001,10001040100,100010401004,100010401004004,31,0,31
PLST,DE,100010401004005,1,40100,4,4005,52658,Block 4005,39.2665332,-75.6638035,38,38,29,0,0,0,10,15,10001,10001040100,100010401004,100010401004005,38,0,38
PLST,DE,100010401004006,1,40100,4,4006,46890,Block 4006,39.2675241,-75.6630144,32,32,23,0,0,0,10,15,10001,10001040100,100010401004,100010401004006,32,0,32
PLST,DE,100010401004007,1,40100,4,4007,24896,Block 4007,39.2779571,-75.667613,17,17,11,0,0,0,10,15,10001,10001040100,100010401004,100010401004007,17,0,17
PLST,DE,100010401004008,1,40100,4,4008,48026,Block 4008,39.279019,-75.6681786,38,38,29,0,0,0,10,15,10001,10001040100,100010401004,100010401004008,38,0,38
PLST,DE,100010401004009,1,40100,4,4009,260421,Block 4009,39.2518897,-75.6920921,16,16,15,0,0,0,10,15,10001,10001040100,100010401004,100010401004009,16,0,16
PLST,DE,100010401004010,1,40100,4,4010,3825438,Block 4010,39.2612549,-75.7134266,118,118,91,0,0,0,10,15,10001,10001040100,100010401004,100010401004010,118,0,118
PLST,DE,100010401004011,1,40100,4,4011,2343857,Block 4011,39.2530881,-75.7171121,3,3,1,0,0,0,10,15,10001,10001040100,100010401004,100010401004011,3,0,3
PLST,DE,100010401004012,1,40100,4,4012,2763894,Block 4012,39.244679,-75.7034045,16,16,7,0,0,0,10,15,10001,10001040100,100010401004,100010401004012,16,0,16
PLST,DE,100010401004013,1,40100,4,4013,340786,Block 4013,39.2467962,-75.6871608,18,18,13,0,0,0,10,15,10001,10001040100,100010401004,100010401004013,18,0,18
PLST,DE,100010401004014,1,40100,4,4014,219003,Block 4014,39.2480922,-75.6828428,37,37,27,0,0,0,10,15,10001,10001040100,100010401004,100010401004014,37,0,37
